epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,592.819,0.94809,0.66788,1.10368,0.93686,0.94278,0.97817,0.74798,0.92758,0.59111,1.06421,0.000828443,0.000828443,0.000828443
43,606,0.88118,0.65931,1.09348,0.91541,0.95118,0.97469,0.743,0.89951,0.57564,1.06066,0.000820525,0.000820525,0.000820525
44,619.719,0.93319,0.65975,1.10029,0.95026,0.90017,0.9729,0.7217,0.92415,0.60511,1.07864,0.000812468,0.000812468,0.000812468
45,633.079,0.96843,0.6899,1.10384,0.92565,0.90308,0.96654,0.73781,0.88748,0.61823,1.02813,0.000804277,0.000804277,0.000804277
46,646.211,0.92696,0.63434,1.10002,0.95188,0.90068,0.96124,0.74195,0.86598,0.62784,1.0285,0.000795954,0.000795954,0.000795954
47,659.366,0.90446,0.66776,1.08223,0.90096,0.93271,0.96199,0.7445,0.89539,0.61265,1.04201,0.000787503,0.000787503,0.000787503
48,672.633,0.93362,0.63438,1.10078,0.92873,0.93666,0.97513,0.74683,0.88386,0.54506,1.03078,0.000778929,0.000778929,0.000778929
49,685.919,0.92691,0.61944,1.08091,0.91244,0.96245,0.98191,0.75733,0.85333,0.50414,1.02117,0.000770234,0.000770234,0.000770234
50,699.234,0.89164,0.64665,1.08983,0.92273,0.95279,0.98214,0.75251,0.88863,0.54756,1.0516,0.000761423,0.000761423,0.000761423
51,712.476,0.88781,0.61211,1.08005,0.97305,0.95814,0.98205,0.75623,0.88336,0.53357,1.03472,0.0007525,0.0007525,0.0007525
52,725.641,0.90442,0.61804,1.08921,0.95761,0.95568,0.98525,0.76687,0.8366,0.49551,1.02147,0.000743468,0.000743468,0.000743468
53,738.779,0.87148,0.59214,1.05995,0.92187,0.9612,0.98376,0.76799,0.80185,0.49866,1.00317,0.000734332,0.000734332,0.000734332
54,751.926,0.86824,0.60064,1.05808,0.92769,0.95898,0.98415,0.75045,0.89317,0.55261,1.05338,0.000725094,0.000725094,0.000725094
55,765.033,0.86663,0.59744,1.07159,0.94616,0.96481,0.9858,0.77187,0.83917,0.51171,1.02841,0.000715761,0.000715761,0.000715761
56,778.236,0.85592,0.58592,1.0512,0.97337,0.95476,0.98924,0.79893,0.79224,0.47939,1.00034,0.000706335,0.000706335,0.000706335
57,791.431,0.88013,0.60915,1.07558,0.93115,0.96163,0.98628,0.78023,0.8217,0.52812,1.00782,0.00069682,0.00069682,0.00069682
58,804.619,0.88446,0.58336,1.08861,0.96104,0.96245,0.99094,0.77697,0.78219,0.4771,1.00088,0.000687222,0.000687222,0.000687222
59,817.727,0.83478,0.58277,1.05462,0.95728,0.97436,0.99025,0.78139,0.8214,0.45698,1.00569,0.000677543,0.000677543,0.000677543
60,830.885,0.85132,0.57355,1.0479,0.9695,0.92502,0.98922,0.77264,0.84574,0.50285,1.00668,0.000667789,0.000667789,0.000667789
61,844.39,0.82433,0.57238,1.03962,0.97281,0.89328,0.97212,0.74969,0.83817,0.53395,1.01021,0.000657963,0.000657963,0.000657963
62,857.57,0.83674,0.57608,1.05748,0.96311,0.93681,0.98261,0.78599,0.81647,0.48942,0.99402,0.000648071,0.000648071,0.000648071
63,870.852,0.81276,0.57022,1.05053,0.97197,0.97578,0.99202,0.79437,0.81265,0.46999,1.00915,0.000638115,0.000638115,0.000638115
64,884.143,0.82107,0.54414,1.03905,0.98605,0.92582,0.98668,0.78495,0.82679,0.45752,1.01081,0.000628101,0.000628101,0.000628101
65,897.344,0.80872,0.5423,1.03475,0.9633,0.97068,0.99056,0.78268,0.8413,0.47198,1.01052,0.000618034,0.000618034,0.000618034
66,910.532,0.82503,0.55059,1.04163,0.98853,0.92267,0.99059,0.80678,0.78827,0.45081,0.99774,0.000607916,0.000607916,0.000607916
67,923.828,0.8073,0.56191,1.03347,0.93543,0.96214,0.97672,0.77025,0.82736,0.50367,1.00321,0.000597754,0.000597754,0.000597754
68,937.096,0.80312,0.55657,1.0367,0.95222,0.95732,0.98203,0.78366,0.81123,0.47752,1.00224,0.000587551,0.000587551,0.000587551
69,950.225,0.81424,0.53096,1.03425,0.93888,0.96245,0.98052,0.78653,0.79539,0.48386,0.98967,0.000577311,0.000577311,0.000577311
70,963.346,0.82345,0.55233,1.05119,0.963,0.94343,0.98456,0.78607,0.83206,0.48617,1.00071,0.00056704,0.00056704,0.00056704
71,976.45,0.81118,0.53874,1.04666,0.95952,0.96245,0.97738,0.77292,0.82666,0.48931,1.00612,0.000556742,0.000556742,0.000556742
72,989.603,0.79763,0.53602,1.03027,0.97684,0.97396,0.98445,0.78111,0.78676,0.45396,1.00449,0.000546421,0.000546421,0.000546421
73,1002.76,0.80451,0.53997,1.02,0.97549,0.97613,0.99119,0.7978,0.77364,0.43301,0.99713,0.000536081,0.000536081,0.000536081
74,1015.82,0.79747,0.52305,1.02666,0.99488,0.98491,0.99313,0.79265,0.79949,0.41422,0.98399,0.000525728,0.000525728,0.000525728
75,1028.98,0.81606,0.5542,1.03911,0.98675,0.95735,0.98344,0.77912,0.79985,0.44652,1.00696,0.000515366,0.000515366,0.000515366
76,1042.12,0.78262,0.52129,1.01728,0.96751,0.96862,0.99097,0.79383,0.78209,0.41953,0.99133,0.000505,0.000505,0.000505
77,1055.21,0.76361,0.49935,1.0207,0.96939,0.9881,0.99071,0.81654,0.72443,0.41167,0.96527,0.000494634,0.000494634,0.000494634
78,1068.4,0.78241,0.49621,1.02439,0.97346,0.95922,0.99205,0.80982,0.70447,0.41275,0.96666,0.000484272,0.000484272,0.000484272
79,1081.49,0.76711,0.48512,1.014,0.97452,0.94684,0.98387,0.8003,0.76325,0.4437,0.98373,0.000473919,0.000473919,0.000473919
80,1095.25,0.8089,0.52945,1.03609,0.98355,0.95282,0.98737,0.79825,0.73991,0.44397,0.96881,0.000463579,0.000463579,0.000463579
81,1108.49,0.77698,0.50776,1.01025,0.95562,0.98536,0.98778,0.81112,0.74981,0.42394,0.97561,0.000453258,0.000453258,0.000453258
82,1122.58,0.76927,0.49125,1.01775,0.97419,0.92491,0.98525,0.81288,0.75498,0.46516,0.97912,0.00044296,0.00044296,0.00044296
83,1137.06,0.76545,0.49268,0.99246,0.96295,0.95069,0.98561,0.80573,0.76021,0.45889,0.97573,0.000432689,0.000432689,0.000432689
84,1151.6,0.72404,0.46293,0.98723,0.98033,0.96245,0.98839,0.80414,0.74601,0.42805,0.97866,0.000422449,0.000422449,0.000422449
85,1166.38,0.76945,0.49776,1.00175,0.96291,0.9981,0.99285,0.82588,0.73241,0.39941,0.9757,0.000412246,0.000412246,0.000412246
86,1181.26,0.73135,0.45861,1.0037,0.96269,0.98369,0.99289,0.82217,0.73471,0.3978,0.9751,0.000402084,0.000402084,0.000402084
87,1195.77,0.72017,0.45361,0.99317,0.97318,0.97236,0.9897,0.80358,0.75032,0.42498,0.97685,0.000391966,0.000391966,0.000391966
88,1210.16,0.72708,0.4748,1.00157,0.98126,0.96746,0.9927,0.82086,0.71975,0.39343,0.96292,0.000381899,0.000381899,0.000381899
89,1224.54,0.73289,0.45727,0.99883,0.99298,0.96245,0.99392,0.82121,0.72911,0.39632,0.97155,0.000371885,0.000371885,0.000371885
90,1239.46,0.69435,0.45286,0.98099,0.9883,0.95445,0.99333,0.80957,0.75504,0.40886,0.98861,0.000361929,0.000361929,0.000361929
91,1253.73,0.73248,0.46026,1.00804,0.99009,0.95752,0.99161,0.81397,0.75718,0.4192,0.98976,0.000352037,0.000352037,0.000352037
92,1268.05,0.74181,0.47075,0.99699,0.99389,0.96148,0.99231,0.82237,0.75954,0.41377,0.98007,0.000342211,0.000342211,0.000342211
93,1282.47,0.70583,0.45996,0.97933,0.98469,0.98718,0.99475,0.81967,0.75695,0.40117,0.97416,0.000332457,0.000332457,0.000332457
94,1296.75,0.73277,0.47368,0.98169,0.98468,0.97623,0.99428,0.82385,0.72994,0.39806,0.97173,0.000322778,0.000322778,0.000322778
95,1310.93,0.70577,0.46325,0.99793,0.96245,0.96671,0.9933,0.81938,0.70923,0.40411,0.9702,0.00031318,0.00031318,0.00031318
96,1325.05,0.68101,0.43403,0.97302,0.98191,0.95055,0.98887,0.82777,0.71908,0.39882,0.97316,0.000303665,0.000303665,0.000303665
97,1339.32,0.70416,0.45946,0.99365,0.99502,0.96832,0.99378,0.81953,0.71131,0.39593,0.96068,0.000294239,0.000294239,0.000294239
98,1353.47,0.68768,0.43885,0.98351,0.99299,0.97436,0.99378,0.83261,0.68772,0.36844,0.95511,0.000284906,0.000284906,0.000284906
99,1367.69,0.68916,0.4219,0.98854,0.98513,0.97436,0.99355,0.83751,0.68406,0.37665,0.95069,0.000275668,0.000275668,0.000275668
100,1382.48,0.67269,0.41996,0.97412,0.98196,0.96284,0.99236,0.82259,0.68556,0.38575,0.9479,0.000266532,0.000266532,0.000266532
101,1396.58,0.70502,0.44054,0.99713,0.98337,0.96245,0.9914,0.82324,0.68829,0.37517,0.9487,0.0002575,0.0002575,0.0002575
102,1410.69,0.67857,0.42874,0.97404,0.98494,0.95444,0.99072,0.83538,0.66999,0.36926,0.9436,0.000248577,0.000248577,0.000248577
103,1424.82,0.65951,0.40696,0.9627,0.96401,0.97108,0.9912,0.83432,0.68764,0.36801,0.9448,0.000239766,0.000239766,0.000239766
104,1439.02,0.70719,0.4349,0.991,0.97812,0.95732,0.99151,0.83473,0.70106,0.3625,0.9512,0.000231071,0.000231071,0.000231071
105,1453.22,0.6802,0.42526,0.98743,0.98129,0.96245,0.99103,0.83694,0.66811,0.36509,0.9467,0.000222497,0.000222497,0.000222497
